id;nombre;dni;salario;fecha_contratacion
1;savour spiffy against;but how yippee;28188;2025-01-21T19:14:08
2;unfurl modulo;yum aw minty;17173;2025-01-21T16:18:56
3;emotional;incidentally as;19389;2025-01-20T23:46:21
4;now;mouser blushing athletic;397;2025-01-20T22:55:25
5;black amongst management;jubilant conceptualize woot;4656;2025-01-21T11:01:58
6;ugh;guard;32612;2025-01-21T02:48:54
7;whenever towards into;by yet;1560;2025-01-21T13:59:47
8;besides smoothly;geez;28183;2025-01-21T11:13:16
9;blossom amongst the;quizzically countess between;12861;2025-01-21T12:56:33
10;ack;wing though;18757;2025-01-21T10:48:16
